Report Builder

"Principal Place of Performance State Code","Is Vendor Business Type - Economically Disadvantaged Women Owned Small Business","Is Vendor Business Type - Women Owned Small Business","NAICS Code","NAICS Description","Base and All Options Value (Total Contract Value)"
"AK","NO","NO","112519","OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)","$15,899.80"
"AK","NO","NO","114119","OTHER MARINE FISHING","$15,630.21"
"AK","NO","NO","115310","SUPPORT ACTIVITIES FOR FORESTRY","$1,218,689.41"
"AK","NO","NO","212112","BITUMINOUS COAL UNDERGROUND MINING","$34,976,520.00"
"AK","NO","NO","212319","OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING","$1,106,156.20"
"AK","NO","NO","212321","CONSTRUCTION SAND AND GRAVEL MINING","$448,563.00"
"AK","NO","NO","213112","SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS","$55,060,711.00"
"AK","NO","NO","221112","FOSSIL FUEL ELECTRIC POWER GENERATION","$294,288,986.32"
"AK","NO","NO","221114","SOLAR ELECTRIC POWER GENERATION","$578,000.00"
"AK","NO","NO","221118","OTHER ELECTRIC POWER GENERATION","$64,070.00"
"AK","NO","NO","221122","ELECTRIC POWER DISTRIBUTION","$422,713.40"
"AK","NO","NO","221210","NATURAL GAS DISTRIBUTION","$11,346,715.98"
"AK","NO","NO","221310","WATER SUPPLY AND IRRIGATION SYSTEMS","$59,507.75"
"AK","NO","NO","221320","SEWAGE TREATMENT FACILITIES","$5,114,506.11"
"AK","NO","NO","236210","INDUSTRIAL BUILDING CONSTRUCTION","$36,420,438.82"
"AK","NO","NO","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$313,253,500.33"
"AK","NO","NO","237110","WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION","$37,424,819.56"
"AK","NO","NO","237120","OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION","$17,344,038.94"
"AK","NO","NO","237130","POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION","$9,096,426.59"
"AK","NO","NO","237310","HIGHWAY, STREET, AND BRIDGE CONSTRUCTION","$22,671,095.91"
"AK","NO","NO","237990","OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION","$145,451,994.29"
"AK","NO","NO","238110","POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS","$185,919.00"
"AK","NO","NO","238130","FRAMING CONTRACTORS","$0.00"
"AK","NO","NO","238160","ROOFING CONTRACTORS","$9,237,765.17"
"AK","NO","NO","238170","SIDING CONTRACTORS","$413,864.63"
"AK","NO","NO","238190","OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS","$2,042,451.85"
"AK","NO","NO","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","$11,753,620.92"
"AK","NO","NO","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","$4,099,768.13"
"AK","NO","NO","238290","OTHER BUILDING EQUIPMENT CONTRACTORS","$281,866.04"
"AK","NO","NO","238310","DRYWALL AND INSULATION CONTRACTORS","$49,950.00"
"AK","NO","NO","238320","PAINTING AND WALL COVERING CONTRACTORS","$141,607.00"
"AK","NO","NO","238330","FLOORING CONTRACTORS","$110,961.13"
"AK","NO","NO","238340","TILE AND TERRAZZO CONTRACTORS","$18,000.00"
"AK","NO","NO","238350","FINISH CARPENTRY CONTRACTORS","$0.00"
"AK","NO","NO","238390","OTHER BUILDING FINISHING CONTRACTORS","$498,475.50"
"AK","NO","NO","238990","ALL OTHER SPECIALTY TRADE CONTRACTORS","$5,970,252.89"
"AK","NO","NO","311111","DOG AND CAT FOOD MANUFACTURING","$22,500.00"
"AK","NO","NO","311710","SEAFOOD PRODUCT PREPARATION AND PACKAGING","$15,316,264.80"
"AK","NO","NO","311812","COMMERCIAL BAKERIES","$40,025.94"
"AK","NO","NO","311999","ALL OTHER MISCELLANEOUS FOOD MANUFACTURING","$11,267,760.00"
"AK","NO","NO","314110","CARPET AND RUG MILLS","$22,171.00"
"AK","NO","NO","314910","TEXTILE BAG AND CANVAS MILLS","$118,820.40"
"AK","NO","NO","314999","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS","$27,919.60"
"AK","NO","NO","315220","MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING","$24,042.34"
"AK","NO","NO","315280","OTHER CUT AND SEW APPAREL MANUFACTURING","$30,257.16"
"AK","NO","NO","315990","APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING","$866,196.99"
"AK","NO","NO","315992","GLOVE AND MITTEN MANUFACTURING","$67,797.00"
"AK","NO","NO","315999","OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING","$255,632.40"
"AK","NO","NO","316998","ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING","$84,664.74"
"AK","NO","NO","321113","SAWMILLS","$275,882.02"
"AK","NO","NO","321114","WOOD PRESERVATION","$125,007.05"
"AK","NO","NO","321992","PREFABRICATED WOOD BUILDING MANUFACTURING","$397,261.68"
"AK","NO","NO","322121","PAPER (EXCEPT NEWSPRINT) MILLS","$73,239.92"
"AK","NO","NO","323113","COMMERCIAL SCREEN PRINTING","$3,655.20"
"AK","NO","NO","323117","BOOKS PRINTING","$21,880.00"
"AK","NO","NO","324110","PETROLEUM REFINERIES","$125,647,380.69"
"AK","NO","NO","324121","ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING","$922,444.00"
"AK","NO","NO","324191","PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING","$155,297.69"
"AK","NO","NO","324199","ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING","$25,694.05"
