NAICS,Description of NAICS,Set-Aside
111110,Soybean Farming,WOSB
111120,Oilseed (except Soybean) Farming,WOSB
111130,Dry Pea and Bean Farming,WOSB
111140,Wheat Farming,WOSB
111150,Corn Farming,WOSB
111160,Rice Farming,WOSB
111191,Oilseed and Grain Combination Farming,WOSB
111199,All Other Grain Farming,WOSB
111411,Mushroom Production,EDWOSB
111419,Other Food Crops Grown Under Cover,EDWOSB
111421,Nursery and Tree Production,EDWOSB
111422,Floriculture Production,EDWOSB
111910,Tobacco Farming,WOSB
111920,Cotton Farming,WOSB
111930,Sugarcane Farming,WOSB
111940,Hay Farming,WOSB
111991,Sugar Beet Farming,WOSB
111992,Peanut Farming,WOSB
111998,All Other Miscellaneous Crop Farming,WOSB
112210,Hog and Pig Farming,WOSB
112310,Chicken Egg Production,EDWOSB
112320,Broilers and Other Meat Type Chicken Production,EDWOSB
112330,Turkey Production,EDWOSB
112340,Poultry Hatcheries,EDWOSB
112390,Other Poultry Production,EDWOSB
112910,Apiculture,WOSB
112920,Horses and Other Equine Production,WOSB
112930,Fur-Bearing Animal and Rabbit Production,WOSB
112990,All Other Animal Production,WOSB
113210,Forest Nurseries and Gathering of Forest Products,WOSB
114210,Hunting and Trapping,WOSB
115111,Cotton Ginning,WOSB
115112,"Soil Preparation, Planting, and Cultivating",WOSB
115113,"Crop Harvesting, Primarily by Machine",WOSB
115114,Postharvest Crop Activities (except Cotton Ginning),WOSB
115115,Farm Labor Contractors and Crew Leaders,WOSB
115116,Farm Management Services,WOSB
115210,Support Activities for Animal Production,WOSB
115310,Support Activities for Forestry,EDWOSB
211120,Crude Petroleum Extraction ,WOSB
211130,Natural Gas Extraction ,WOSB
212311,Dimension Stone Mining and Quarrying,EDWOSB
212312,Crushed and Broken Limestone Mining and Quarrying,EDWOSB
212313,Crushed and Broken Granite Mining and Quarrying,EDWOSB
212319,Other Crushed and Broken Stone Mining and Quarrying,EDWOSB
212321,Construction Sand and Gravel Mining,EDWOSB
212322,Industrial Sand Mining,EDWOSB
212324,Kaolin and Ball Clay Mining,EDWOSB
212325,Clay and Ceramic and Refractory Minerals Mining,EDWOSB
212391,"Potash, Soda, and Borate Mineral Mining",EDWOSB
212392,Phosphate Rock Mining,EDWOSB
212393,Other Chemical and Fertilizer Mineral Mining,EDWOSB
212399,All Other Nonmetallic Mineral Mining,EDWOSB
213111,Drilling Oil and Gas Wells,WOSB
213112,Support Activities for Oil and Gas Operations,WOSB
213113,Support Activities for Coal Mining,WOSB
213114,Support Activities for Metal Mining,WOSB
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,WOSB
221111,Hydroelectric Power Generation,WOSB
221112,Fossil Fuel Electric Power Generation,WOSB
221113,Nuclear Electric Power Generation,WOSB
221114,Solar Electric Power Generation,WOSB
221115,Wind Electric Power Generation,WOSB
221116,Geothermal Electric Power Generation,WOSB
221117,Biomass Electric Power Generation,WOSB
221118,Other Electric Power Generation,WOSB
221121,Electric Bulk Power Transmission and Control,WOSB
221122,Electric Power Distribution,WOSB
221210,Natural Gas Distribution,WOSB
221310,Water Supply and Irrigation Systems,WOSB
221320,Sewage Treatment Facilities,WOSB
221330,Steam and Air-Conditioning Supply,WOSB
236115,New Single-Family Housing Construction (except For-Sale Builders),WOSB
236116,New Multifamily Housing Construction (except For-Sale Builders),WOSB
236117,New Housing For-Sale Builders,WOSB
236118,Residential Remodelers,WOSB
236210,Industrial Building Construction,WOSB
236220,Commercial and Institutional Building Construction,WOSB
237110,Water and Sewer Line and Related Structures Construction,WOSB
237120,Oil and Gas Pipeline and Related Structures Construction,WOSB
237130,Power and Communication Line and Related Structures Construction,WOSB
237310,"Highway, Street, and Bridge Construction",WOSB
237990,Other Heavy and Civil Engineering Construction,WOSB
238310,Drywall and Insulation Contractors,EDWOSB
238320,Painting and Wall Covering Contractors,EDWOSB
238330,Flooring Contractors,EDWOSB
238340,Tile and Terrazzo Contractors,EDWOSB
238350,Finish Carpentry Contractors,EDWOSB
238390,Other Building Finishing Contractors,EDWOSB
238910,Site Preparation Contractors,EDWOSB
238990,All Other Specialty Trade Contractors,EDWOSB
311111,Dog and Cat Food Manufacturing,EDWOSB
311119,Other Animal Food Manufacturing,EDWOSB
311211,Flour Milling,WOSB
311212,Rice Milling,WOSB
311213,Malt Manufacturing,WOSB
311221,Wet Corn Milling,WOSB
311224,Soybean and Other Oilseed Processing,WOSB
311225,Fats and Oils Refining and Blending,WOSB
311230,Breakfast Cereal Manufacturing,WOSB
311313,Beet Sugar Manufacturing,WOSB
311314,Cane Sugar Manufacturing,WOSB
311340,Nonchocolate Confectionery Manufacturing,WOSB
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,WOSB
311352,Confectionery Manufacturing from Purchased Chocolate,WOSB
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",WOSB
311412,Frozen Specialty Food Manufacturing,WOSB
311421,Fruit and Vegetable Canning,WOSB
311422,Specialty Canning,WOSB
311423,Dried and Dehydrated Food Manufacturing,WOSB
311511,Fluid Milk Manufacturing,WOSB
311512,Creamery Butter Manufacturing,WOSB
311513,Cheese Manufacturing,WOSB
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",WOSB
311520,Ice Cream and Frozen Dessert Manufacturing,WOSB
311611,Animal (except Poultry) Slaughtering,EDWOSB
311612,Meat Processed from Carcasses,EDWOSB
311613,Rendering and Meat Byproduct Processing,EDWOSB
311615,Poultry Processing,EDWOSB
311710,Seafood Product Preparation and Packaging,WOSB
311811,Retail Bakeries,WOSB
311812,Commercial Bakeries,WOSB
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",WOSB
311821,Cookie and Cracker Manufacturing,WOSB
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",WOSB
311830,Tortilla Manufacturing,WOSB
311911,Roasted Nuts and Peanut Butter Manufacturing,WOSB
311919,Other Snack Food Manufacturing,WOSB
311920,Coffee and Tea Manufacturing,WOSB
311930,Flavoring Syrup and Concentrate Manufacturing,WOSB
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",WOSB
311942,Spice and Extract Manufacturing,WOSB
311991,Perishable Prepared Food Manufacturing,WOSB
311999,All Other Miscellaneous Food Manufacturing,WOSB
312111,Soft Drink Manufacturing,WOSB
312112,Bottled Water Manufacturing,WOSB
312113,Ice Manufacturing,WOSB
312120,Breweries,WOSB
312130,Wineries,WOSB
312140,Distilleries,WOSB
313110,"Fiber, Yarn, and Thread Mills",WOSB
313210,Broadwoven Fabric Mills,WOSB
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,WOSB
313230,Nonwoven Fabric Mills,WOSB
313240,Knit Fabric Mills,WOSB
313310,Textile and Fabric Finishing Mills,WOSB
313320,Fabric Coating Mills,WOSB
314110,Carpet and Rug Mills,EDWOSB
314120,Curtain and Linen Mills,EDWOSB
314910,Textile Bag and Canvas Mills,WOSB
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",WOSB
314999,All Other Miscellaneous Textile Product Mills,WOSB
315110,Hosiery and Sock Mills,WOSB
315190,Other Apparel Knitting Mills,WOSB
315210,Cut and Sew Apparel Contractors,WOSB
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing,WOSB
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",WOSB
315280,Other Cut and Sew Apparel Manufacturing,WOSB
315990,Apparel Accessories and Other Apparel Manufacturing,WOSB
316110,Leather and Hide Tanning and Finishing,WOSB
316210,Footwear Manufacturing,WOSB
316992,Women's Handbag and Purse Manufacturing,WOSB
316998,All Other Leather Good and Allied Product Manufacturing,WOSB
321113,Sawmills,EDWOSB
321114,Wood Preservation,EDWOSB
321211,Hardwood Veneer and Plywood Manufacturing,WOSB
321212,Softwood Veneer and Plywood Manufacturing,WOSB
321213,Engineered Wood Member (except Truss) Manufacturing,WOSB
321214,Truss Manufacturing,WOSB
321219,Reconstituted Wood Product Manufacturing,WOSB
321911,Wood Window and Door Manufacturing,WOSB
321912,"Cut Stock, Resawing Lumber, and Planing",WOSB
321918,Other Millwork (including Flooring),WOSB
321920,Wood Container and Pallet Manufacturing,WOSB
321991,Manufactured Home (Mobile Home) Manufacturing,WOSB
321992,Prefabricated Wood Building Manufacturing,WOSB
321999,All Other Miscellaneous Wood Product Manufacturing,WOSB
322110,Pulp Mills,WOSB
322121,Paper (except Newsprint) Mills,WOSB
322122,Newsprint Mills,WOSB
322130,Paperboard Mills,WOSB
322211,Corrugated and Solid Fiber Box Manufacturing,WOSB
322212,Folding Paperboard Box Manufacturing,WOSB
322219,Other Paperboard Container Manufacturing,WOSB
322220,Paper Bag and Coated and Treated Paper Manufacturing,WOSB
322230,Stationery Product Manufacturing,WOSB
322291,Sanitary Paper Product Manufacturing,WOSB
322299,All Other Converted Paper Product Manufacturing,WOSB
323111,Commercial Printing (except Screen and Books),WOSB
323113,Commercial Screen Printing,WOSB
323117,Books Printing,WOSB
323120,Support Activities for Printing,WOSB
324110,Petroleum Refineries,WOSB
324121,Asphalt Paving Mixture and Block Manufacturing,WOSB
324122,Asphalt Shingle and Coating Materials Manufacturing,WOSB
324191,Petroleum Lubricating Oil and Grease Manufacturing,WOSB
324199,All Other Petroleum and Coal Products Manufacturing,WOSB
325110,Petrochemical Manufacturing,WOSB
325120,Industrial Gas Manufacturing,WOSB
325130,Synthetic Dye and Pigment Manufacturing,WOSB
325180,Other Basic Inorganic Chemical Manufacturing,WOSB
325193,Ethyl Alcohol Manufacturing,WOSB
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",WOSB
325199,All Other Basic Organic Chemical Manufacturing,WOSB
325211,Plastics Material and Resin Manufacturing,WOSB
325212,Synthetic Rubber Manufacturing,WOSB
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,WOSB
325311,Nitrogenous Fertilizer Manufacturing,WOSB
325312,Phosphatic Fertilizer Manufacturing,WOSB
325314,Fertilizer (Mixing Only) Manufacturing,WOSB
325320,Pesticide and Other Agricultural Chemical Manufacturing,WOSB
325411,Medicinal and Botanical Manufacturing,WOSB
325412,Pharmaceutical Preparation Manufacturing,WOSB
325413,In-Vitro Diagnostic Substance Manufacturing,WOSB
325414,Biological Product (except Diagnostic) Manufacturing,WOSB
325510,Paint and Coating Manufacturing,WOSB
325520,Adhesive Manufacturing,WOSB
325611,Soap and Other Detergent Manufacturing,WOSB
325612,Polish and Other Sanitation Good Manufacturing,WOSB
325613,Surface Active Agent Manufacturing,WOSB
325620,Toilet Preparation Manufacturing,WOSB
325910,Printing Ink Manufacturing,WOSB
325920,Explosives Manufacturing,WOSB
325991,Custom Compounding of Purchased Resins,WOSB
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",WOSB
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,WOSB
326211,Tire Manufacturing (except Retreading),WOSB
326212,Tire Retreading,WOSB
